2018-09-20 15:13:35.5553 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:13:35.5553 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:13:35.5733 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:14:33.1256 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:14:33.1256 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:14:33.1376 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:14:33.1376 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:14:33.1376 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:14:33.1556 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:14:33.1556 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:16:01.0397 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:16:01.0447 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:16:01.0447 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:16:01.0447 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:16:01.0577 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:16:01.0577 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:16:01.0577 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:17:12.9658 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:17:12.9658 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:17:12.9748 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:17:12.9748 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:17:12.9748 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:17:12.9888 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:17:12.9888 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:23:59.8431 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:23:59.8431 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:23:59.8561 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:23:59.8561 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:23:59.8561 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:23:59.8561 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:23:59.8761 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:30:23.9190 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:30:23.9190 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:30:23.9190 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:30:23.9320 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:30:23.9320 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:30:23.9320 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:30:23.9470 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:45:42.3956 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:45:42.3956 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:45:42.4046 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:45:42.4046 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:45:42.4046 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:45:42.4176 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:45:42.4176 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

