2018-09-20 13:41:44.9362 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #22464aab' started. 

2018-09-20 13:41:44.9482 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #2c66ff3b' started. 

2018-09-20 13:41:44.9482 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d5c1e66b' started. 

2018-09-20 13:41:44.9632 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #32cdf2ae' started. 

2018-09-20 13:43:28.6281 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #5d5561bb' started. 

2018-09-20 13:43:28.6501 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #798a6b4b' started. 

2018-09-20 13:43:28.7001 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c0167760' started. 

2018-09-20 13:43:28.6741 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ca93a20d' started. 

2018-09-20 13:43:28.7241 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e5505304' started. 

2018-09-20 13:43:28.7721 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ff37a6be' started. 

2018-09-20 13:43:28.7721 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ef11f910' started. 

2018-09-20 13:43:28.7831 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f65753d3' started. 

2018-09-20 13:43:28.7831 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fd5a5c66' started. 

2018-09-20 13:43:28.7831 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7c3a3ef0' started. 

2018-09-20 13:43:28.7981 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #78a2b77a' started. 

2018-09-20 13:43:28.8321 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #5d6c707f' started. 

2018-09-20 13:43:28.7981 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a27e3a16' started. 

2018-09-20 13:43:28.8321 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #53308bf4' started. 

2018-09-20 13:43:28.8781 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #069ad16d' started. 

2018-09-20 13:43:28.8521 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #28809a8d' started. 

2018-09-20 13:43:28.8781 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #90e61ee4' started. 

2018-09-20 13:43:28.8901 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #229952b7' started. 

2018-09-20 13:43:28.9061 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #16f573ca' started. 

2018-09-20 13:43:28.8901 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #2d616336' started. 

2018-09-20 14:35:16.9849 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fe330d5e' started. 

2018-09-20 14:35:17.0059 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #69eea6ea' started. 

2018-09-20 14:35:17.0059 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9ef0e745' started. 

2018-09-20 14:35:17.0059 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0c7ce3bc' started. 

2018-09-20 14:35:17.0469 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ceecb6f7' started. 

2018-09-20 14:35:17.0349 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b951e60b' started. 

2018-09-20 14:35:17.0779 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8a525bd9' started. 

2018-09-20 14:35:17.0959 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #bf95d630' started. 

2018-09-20 14:35:17.1179 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b07c4bf0' started. 

2018-09-20 14:35:17.1299 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #53462243' started. 

2018-09-20 14:35:17.1299 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9ea60f06' started. 

2018-09-20 14:35:17.1299 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #679eb051' started. 

2018-09-20 14:35:17.1669 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #96b466bb' started. 

2018-09-20 14:35:17.1949 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c31affb3' started. 

2018-09-20 14:35:17.2189 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #6b066564' started. 

2018-09-20 14:35:17.2459 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3e856193' started. 

2018-09-20 14:35:17.2459 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3bef4002' started. 

2018-09-20 14:35:17.2959 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #152eac1a' started. 

2018-09-20 14:35:17.3059 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b40b877e' started. 

2018-09-20 14:35:17.3059 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ce01a7f3' started. 

2018-09-20 14:36:41.6707 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a7062dc1' started. 

2018-09-20 14:36:41.6707 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f8dd3c2a' started. 

2018-09-20 14:36:41.6707 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ba5f2ace' started. 

2018-09-20 14:36:41.6817 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #24b2c987' started. 

2018-09-20 14:36:41.7147 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0d59cbd1' started. 

2018-09-20 14:36:41.6817 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e6cd7c97' started. 

2018-09-20 14:36:41.7497 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7faa516d' started. 

2018-09-20 14:36:41.7147 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e4108acf' started. 

2018-09-20 14:36:41.7497 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #620d6465' started. 

2018-09-20 14:36:41.7637 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9b01f719' started. 

2018-09-20 14:36:41.8297 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #83020839' started. 

2018-09-20 14:36:41.8407 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b88bf2f5' started. 

2018-09-20 14:36:41.8657 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #528af29a' started. 

2018-09-20 14:36:41.8297 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7443f516' started. 

2018-09-20 14:36:41.8407 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8ff048e9' started. 

2018-09-20 14:36:41.8857 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b3cf44a7' started. 

2018-09-20 14:36:41.8857 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f666f65a' started. 

2018-09-20 14:36:41.9017 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b8946538' started. 

2018-09-20 14:36:41.9017 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #31959ea8' started. 

2018-09-20 14:36:41.9017 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #542a9ee4' started. 

2018-09-20 14:39:00.1426 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #cee73fdc' started. 

2018-09-20 14:39:00.1426 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7353034d' started. 

2018-09-20 14:39:00.1596 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #da120df8' started. 

2018-09-20 14:39:00.1666 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0adc88b6' started. 

2018-09-20 14:39:00.1666 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b6228fa1' started. 

2018-09-20 14:39:00.1936 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a0db5fc2' started. 

2018-09-20 14:39:00.2176 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #660fd5d9' started. 

2018-09-20 14:39:00.2426 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #69f21cdd' started. 

2018-09-20 14:39:00.2426 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8530f516' started. 

2018-09-20 14:39:00.2426 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #15e14886' started. 

2018-09-20 14:39:00.2696 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #feede4b4' started. 

2018-09-20 14:39:00.2966 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #343f5346' started. 

2018-09-20 14:39:00.3056 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #71f967be' started. 

2018-09-20 14:39:00.3056 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fc2d2e5f' started. 

2018-09-20 14:39:00.3206 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e0c0fa87' started. 

2018-09-20 14:39:00.3206 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c2e0d912' started. 

2018-09-20 14:39:00.3366 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #4d7b1921' started. 

2018-09-20 14:39:00.3366 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3fd2d8d2' started. 

2018-09-20 14:39:00.3366 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0d5ee76b' started. 

2018-09-20 14:39:00.3536 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #cc6053d9' started. 

2018-09-20 14:40:15.1709 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #37088e0e' started. 

2018-09-20 14:40:15.1709 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c58243f6' started. 

2018-09-20 14:40:15.1879 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7dac48ee' started. 

2018-09-20 14:40:15.1879 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f489c823' started. 

2018-09-20 14:40:15.2119 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #adb22fff' started. 

2018-09-20 14:40:15.2419 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e06652e1' started. 

2018-09-20 14:40:15.2659 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3c2985e4' started. 

2018-09-20 14:40:15.2889 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c54dcc49' started. 

2018-09-20 14:40:15.3129 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #36e62ef0' started. 

2018-09-20 14:40:15.3369 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b442ec84' started. 

2018-09-20 14:40:15.3619 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #46fae4e5' started. 

2018-09-20 14:40:15.3869 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #2dd3f668' started. 

2018-09-20 14:40:15.4099 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d25f3253' started. 

2018-09-20 14:40:15.4249 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #605f88b9' started. 

2018-09-20 14:40:15.4359 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #dfa4c90f' started. 

2018-09-20 14:40:15.4359 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #b41e3fba' started. 

2018-09-20 14:40:15.4529 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ac23b974' started. 

2018-09-20 14:40:15.4529 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #c50c7dcb' started. 

