2018-09-21 12:57:41.2484 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #ade7076e' started. 

2018-09-21 12:57:41.2684 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #305a2710' started. 

2018-09-21 12:57:41.2954 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #6633a6b1' started. 

2018-09-21 12:57:41.2954 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d2563374' started. 

2018-09-21 12:57:41.3194 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9ba8a52d' started. 

2018-09-21 12:57:41.3344 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #37f52d34' started. 

2018-09-21 12:57:41.3344 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #5552acce' started. 

2018-09-21 12:57:41.3524 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d6aa97d0' started. 

2018-09-21 12:57:41.3744 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #858b2e6f' started. 

2018-09-21 12:57:41.3974 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #bfa4fc56' started. 

2018-09-21 12:57:41.3744 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9e64ba6a' started. 

2018-09-21 12:57:41.3974 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d9f809ff' started. 

2018-09-21 12:57:41.4074 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #355c2186' started. 

2018-09-21 12:57:41.4074 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #085d64aa' started. 

2018-09-21 12:57:41.4194 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a6c20dbb' started. 

2018-09-21 12:57:41.4194 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e42237fd' started. 

2018-09-21 12:57:41.4194 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #851275a7' started. 

2018-09-21 12:57:41.4484 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #969700e9' started. 

2018-09-21 12:57:41.4604 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3fa784f0' started. 

2018-09-21 12:57:41.4855 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #9f025a04' started. 

2018-09-21 12:58:05.1161 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8d919800' started. 

2018-09-21 12:58:05.1651 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #be5cfe5a' started. 

2018-09-21 12:58:05.1461 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #0673a11a' started. 

2018-09-21 12:58:05.1651 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #6110b7fe' started. 

2018-09-21 12:58:05.1831 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #58611480' started. 

2018-09-21 12:58:05.1831 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #35e65e84' started. 

2018-09-21 12:58:05.2271 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #80024a46' started. 

2018-09-21 12:58:05.1651 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #90f7fbba' started. 

2018-09-21 12:58:05.2051 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #299c57e9' started. 

2018-09-21 12:58:05.2431 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #950e385f' started. 

